1F5FD,statue_of_liberty,582: :statue_of_liberty:
1F5FE,japan,583: :japan:
1F5FF,moyai,584: :moyai:
1F600,grinning,585: :grinning:
1F601,grin,586: :grin:
1F602,joy,587: :joy:
1F603,smiley,588: :smiley:
1F604,smile,589: :smile:
1F605,sweat_smile,590: :sweat_smile:
1F606,laughing/satisfied,591: :laughing/satisfied:
1F607,innocent,592: :innocent:
1F608,smiling_imp,593: :smiling_imp:
1F609,wink,594: :wink:
1F60A,blush,595: :blush:
1F60B,yum,596: :yum:
1F60C,relieved,597: :relieved:
1F60D,heart_eyes,598: :heart_eyes:
1F60E,sunglasses,599: :sunglasses:
1F60F,smirk,600: :smirk:
1F610,neutral_face,601: :neutral_face:
1F611,expressionless,602: :expressionless:
1F612,unamused,603: :unamused:
1F613,sweat,604: :sweat:
1F614,pensive,605: :pensive:
1F615,confused,606: :confused:
1F616,confounded,607: :confounded:
1F617,kissing,608: :kissing:
1F618,kissing_heart,609: :kissing_heart:
1F619,kissing_smiling_eyes,610: :kissing_smiling_eyes:
1F61A,kissing_closed_eyes,611: :kissing_closed_eyes:
1F61B,stuck_out_tongue,612: :stuck_out_tongue:
1F61C,stuck_out_tongue_winking_eye,613: :stuck_out_tongue_winking_eye:
1F61D,stuck_out_tongue_closed_eyes,614: :stuck_out_tongue_closed_eyes:
1F61E,disappointed,615: :disappointed:
1F61F,worried,616: :worried:
1F620,angry,617: :angry:
1F621,rage,618: :rage:
1F622,cry,619: :cry:
1F623,persevere,620: :persevere:
1F624,triumph,621: :triumph:
1F625,disappointed_relieved,622: :disappointed_relieved:
1F626,frowning,623: :frowning:
1F627,anguished,624: :anguished:
1F628,fearful,625: :fearful:
1F629,weary,626: :weary:
1F62A,sleepy,627: :sleepy:
1F62B,tired_face,628: :tired_face:
1F62C,grimacing,629: :grimacing:
1F62D,sob,630: :sob:
1F62E,open_mouth,631: :open_mouth:
1F62F,hushed,632: :hushed:
1F630,cold_sweat,633: :cold_sweat:
1F631,scream,634: :scream:
1F632,astonished,635: :astonished:
1F633,flushed,636: :flushed:
1F634,sleeping,637: :sleeping:
1F635,dizzy_face,638: :dizzy_face:
1F636,no_mouth,639: :no_mouth:
1F637,mask,640: :mask:
1F638,smile_cat,641: :smile_cat:
1F639,joy_cat,642: :joy_cat:
1F63A,smiley_cat,643: :smiley_cat:
1F63B,heart_eyes_cat,644: :heart_eyes_cat:
1F63C,smirk_cat,645: :smirk_cat:
1F63D,kissing_cat,646: :kissing_cat:
1F63E,pouting_cat,647: :pouting_cat:
1F63F,crying_cat_face,648: :crying_cat_face:
1F640,scream_cat,649: :scream_cat:
1F645,no_good,650: :no_good:
1F646,ok_woman,651: :ok_woman:
1F647,bow,652: :bow:
1F648,see_no_evil,653: :see_no_evil:
1F649,hear_no_evil,654: :hear_no_evil:
1F64A,speak_no_evil,655: :speak_no_evil:
1F64B,raising_hand,656: :raising_hand:
1F64C,raised_hands,657: :raised_hands:
1F64D,person_frowning,658: :person_frowning:
1F64E,person_with_pouting_face,659: :person_with_pouting_face:
1F64F,pray,660: :pray:
1F680,rocket,661: :rocket:
1F681,helicopter,662: :helicopter:
1F682,steam_locomotive,663: :steam_locomotive:
1F683,railway_car,664: :railway_car:
1F684,bullettrain_side,665: :bullettrain_side:
1F685,bullettrain_front,666: :bullettrain_front:
1F686,train2,667: :train2:
1F687,metro,668: :metro:
1F688,light_rail,669: :light_rail:
1F689,station,670: :station:
1F68A,tram,671: :tram:
1F68B,train,672: :train:
1F68C,bus,673: :bus:
1F68D,oncoming_bus,674: :oncoming_bus:
1F68E,trolleybus,675: :trolleybus:
1F68F,busstop,676: :busstop:
1F690,minibus,677: :minibus:
1F691,ambulance,678: :ambulance:
1F692,fire_engine,679: :fire_engine:
1F693,police_car,680: :police_car:
1F694,oncoming_police_car,681: :oncoming_police_car:
1F695,taxi,682: :taxi:
1F696,oncoming_taxi,683: :oncoming_taxi:
1F697,car/red_car,684: :car/red_car:
1F698,oncoming_automobile,685: :oncoming_automobile:
1F699,blue_car,686: :blue_car:
1F69A,truck,687: :truck:
1F69B,articulated_lorry,688: :articulated_lorry:
1F69C,tractor,689: :tractor:
1F69D,monorail,690: :monorail:
1F69E,mountain_railway,691: :mountain_railway:
1F69F,suspension_railway,692: :suspension_railway:
1F6A0,mountain_cableway,693: :mountain_cableway:
1F6A1,aerial_tramway,694: :aerial_tramway:
1F6A2,ship,695: :ship:
1F6A3,rowboat,696: :rowboat:
1F6A4,speedboat,697: :speedboat:
1F6A5,traffic_light,698: :traffic_light:
1F6A6,vertical_traffic_light,699: :vertical_traffic_light:
1F6A7,construction,700: :construction:
1F6A8,rotating_light,701: :rotating_light:
1F6A9,triangular_flag_on_post,702: :triangular_flag_on_post:
1F6AA,door,703: :door:
1F6AB,no_entry_sign,704: :no_entry_sign:
1F6AC,smoking,705: :smoking:
1F6AD,no_smoking,706: :no_smoking:
1F6AE,put_litter_in_its_place,707: :put_litter_in_its_place:
1F6AF,do_not_litter,708: :do_not_litter:
1F6B0,potable_water,709: :potable_water:
1F6B1,non-potable_water,710: :non-potable_water:
1F6B2,bike,711: :bike:
1F6B3,no_bicycles,712: :no_bicycles:
1F6B4,bicyclist,713: :bicyclist:
1F6B5,mountain_bicyclist,714: :mountain_bicyclist:
1F6B6,walking,715: :walking:
1F6B7,no_pedestrians,716: :no_pedestrians:
