1f301,1f301,foggy,:foggy:,,7,0,199: :foggy: | ,199: :foggy:,199: 
1f302,1f302,closed umbrella,:closed_umbrella:,,17,0,200: :closed_umbrella: | ,200: :closed_umbrella:,200: 
1f303,1f303,night with stars,:night_with_stars:,,18,0,201: :night_with_stars: | ,201: :night_with_stars:,201: 
1f304,1f304,sunrise over mountains,:sunrise_over_mountains:,,24,0,202: :sunrise_over_mountains: | ,202: :sunrise_over_mountains:,202: 
1f305,1f305,sunrise,:sunrise:,,9,0,203: :sunrise: | ,203: :sunrise:,203: 
1f306,1f306,cityscape at dusk,:city_dusk:,,11,0,204: :city_dusk: | ,204: :city_dusk:,204: 
1f955,1f955,carrot,:carrot:,,8,0,205: :carrot: | ,205: :carrot:,205: 
1f307,1f307,sunset,:city_sunset:,:city_sunrise:,13,14,206: :city_sunset: | :city_sunrise:,206: :city_sunset:,206: :city_sunrise:
1f308,1f308,rainbow,:rainbow:,,9,0,207: :rainbow: | ,207: :rainbow:,207: 
1f954,1f954,potato,:potato:,,8,0,208: :potato: | ,208: :potato:,208: 
1f309,1f309,bridge at night,:bridge_at_night:,,17,0,209: :bridge_at_night: | ,209: :bridge_at_night:,209: 
1f30a,1f30a,water wave,:ocean:,,7,0,210: :ocean: | ,210: :ocean:,210: 
1f30b,1f30b,volcano,:volcano:,,9,0,211: :volcano: | ,211: :volcano:,211: 
1f30c,1f30c,milky way,:milky_way:,,11,0,212: :milky_way: | ,212: :milky_way:,212: 
1f30f,1f30f,globe showing Asia-Australia,:earth_asia:,,12,0,213: :earth_asia: | ,213: :earth_asia:,213: 
1f311,1f311,new moon,:new_moon:,,10,0,214: :new_moon: | ,214: :new_moon:,214: 
1f953,1f953,bacon,:bacon:,,7,0,215: :bacon: | ,215: :bacon:,215: 
1f313,1f313,first quarter moon,:first_quarter_moon:,,20,0,216: :first_quarter_moon: | ,216: :first_quarter_moon:,216: 
1f314,1f314,waxing gibbous moon,:waxing_gibbous_moon:,,21,0,217: :waxing_gibbous_moon: | ,217: :waxing_gibbous_moon:,217: 
1f315,1f315,full moon,:full_moon:,,11,0,218: :full_moon: | ,218: :full_moon:,218: 
1f319,1f319,crescent moon,:crescent_moon:,,15,0,219: :crescent_moon: | ,219: :crescent_moon:,219: 
1f31b,1f31b,first quarter moon with face,:first_quarter_moon_with_face:,,30,0,220: :first_quarter_moon_with_face: | ,220: :first_quarter_moon_with_face:,220: 
1f31f,1f31f,glowing star,:star2:,,7,0,221: :star2: | ,221: :star2:,221: 
1f952,1f952,cucumber,:cucumber:,,10,0,222: :cucumber: | ,222: :cucumber:,222: 
1f320,1f320,shooting star,:stars:,,7,0,223: :stars: | ,223: :stars:,223: 
1f330,1f330,chestnut,:chestnut:,,10,0,224: :chestnut: | ,224: :chestnut:,224: 
1f951,1f951,avocado,:avocado:,,9,0,225: :avocado: | ,225: :avocado:,225: 
1f331,1f331,seedling,:seedling:,,10,0,226: :seedling: | ,226: :seedling:,226: 
1f334,1f334,palm tree,:palm_tree:,,11,0,227: :palm_tree: | ,227: :palm_tree:,227: 
1f335,1f335,cactus,:cactus:,,8,0,228: :cactus: | ,228: :cactus:,228: 
1f337,1f337,tulip,:tulip:,,7,0,229: :tulip: | ,229: :tulip:,229: 
1f338,1f338,cherry blossom,:cherry_blossom:,,16,0,230: :cherry_blossom: | ,230: :cherry_blossom:,230: 
1f339,1f339,rose,:rose:,,6,0,231: :rose: | ,231: :rose:,231: 
1f33a,1f33a,hibiscus,:hibiscus:,,10,0,232: :hibiscus: | ,232: :hibiscus:,232: 
1f33b,1f33b,sunflower,:sunflower:,,11,0,233: :sunflower: | ,233: :sunflower:,233: 
1f33c,1f33c,blossom,:blossom:,,9,0,234: :blossom: | ,234: :blossom:,234: 
1f33d,1f33d,ear of corn,:corn:,,6,0,235: :corn: | ,235: :corn:,235: 
1f950,1f950,croissant,:croissant:,,11,0,236: :croissant: | ,236: :croissant:,236: 
1f33e,1f33e,sheaf of rice,:ear_of_rice:,,13,0,237: :ear_of_rice: | ,237: :ear_of_rice:,237: 
1f33f,1f33f,herb,:herb:,,6,0,238: :herb: | ,238: :herb:,238: 
1f340,1f340,four leaf clover,:four_leaf_clover:,,18,0,239: :four_leaf_clover: | ,239: :four_leaf_clover:,239: 
1f341,1f341,maple leaf,:maple_leaf:,,12,0,240: :maple_leaf: | ,240: :maple_leaf:,240: 
1f342,1f342,fallen leaf,:fallen_leaf:,,13,0,241: :fallen_leaf: | ,241: :fallen_leaf:,241: 
1f343,1f343,leaf fluttering in wind,:leaves:,,8,0,242: :leaves: | ,242: :leaves:,242: 
1f344,1f344,mushroom,:mushroom:,,10,0,243: :mushroom: | ,243: :mushroom:,243: 
1f345,1f345,tomato,:tomato:,,8,0,244: :tomato: | ,244: :tomato:,244: 
1f346,1f346,eggplant,:eggplant:,,10,0,245: :eggplant: | ,245: :eggplant:,245: 
1f347,1f347,grapes,:grapes:,,8,0,246: :grapes: | ,246: :grapes:,246: 
1f348,1f348,melon,:melon:,,7,0,247: :melon: | ,247: :melon:,247: 
1f349,1f349,watermelon,:watermelon:,,12,0,248: :watermelon: | ,248: :watermelon:,248: 
1f34a,1f34a,tangerine,:tangerine:,,11,0,249: :tangerine: | ,249: :tangerine:,249: 
1f940,1f940,wilted flower,:wilted_rose:,:wilted_flower:,13,15,250: :wilted_rose: | :wilted_flower:,250: :wilted_rose:,250: :wilted_flower:
1f34c,1f34c,banana,:banana:,,8,0,251: :banana: | ,251: :banana:,251: 
